min_cluster_size,min_samples,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin
50,50,106.0,6582.0,0.6297257542610168,8171.479124334863,0.4770654389321022
50,100,47.0,7751.0,0.5813243985176086,7201.393186290835,0.4951827121044633
100,50,55.0,6031.0,0.5472972989082336,7349.487373777251,0.5781246239830492
100,100,37.0,6642.0,0.5866068601608276,7467.625875709323,0.5425449192470663
150,50,37.0,7261.0,0.5434069633483887,9189.389033708672,0.640547603985271
150,100,29.0,8099.0,0.6031264662742615,9848.401288552543,0.5238595074858539
200,50,28.0,7790.0,0.5583107471466064,9159.832163319343,0.6318696601669668
200,100,24.0,9036.0,0.6036483645439148,10968.439891916107,0.5327881334316463
